strategy,asset,tf,trades,wins,losses,wr,avg_win_pct,avg_loss_pct,profit_factor,total_return_pct,max_drawdown_pct,first_bar,last_bar
rsi2_connors,ADAUSD,1h,188,110,78,58.51,0.841,-1.781,0.666,-39.67,-44.09,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
rsi_oversold_rev,ADAUSD,1h,46,22,24,47.83,7.209,-8.105,0.815,-45.12,-58.48,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
macd_ema200,ADAUSD,1h,146,52,94,35.62,3.9,-1.829,1.18,24.65,-21.68,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
ema9_21_cross,ADAUSD,1h,94,24,70,25.53,5.631,-2.013,0.959,-14.11,-26.97,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
bb_meanrev,ADAUSD,1h,229,129,100,56.33,1.217,-2.834,0.554,-74.85,-76.42,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
supertrend_ema,ADAUSD,1h,56,22,34,39.29,5.065,-2.943,1.114,3.77,-34.32,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
stoch_rev,ADAUSD,1h,120,70,50,58.33,3.024,-6.391,0.662,-74.36,-82.16,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
macd_hull_session,ADAUSD,1h,116,38,78,32.76,3.902,-2.107,0.902,-22.18,-33.05,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
rsi2_connors,DOGEUSD,1h,208,124,84,59.62,1.108,-1.766,0.926,-14.22,-41.76,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
rsi_oversold_rev,DOGEUSD,1h,49,31,18,63.27,5.261,-9.482,0.956,-26.51,-55.74,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
macd_ema200,DOGEUSD,1h,181,53,128,29.28,4.898,-2.024,1.002,-15.71,-49.88,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
ema9_21_cross,DOGEUSD,1h,116,33,83,28.45,5.108,-2.227,0.912,-26.4,-41.47,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
bb_meanrev,DOGEUSD,1h,237,142,95,59.92,1.503,-2.946,0.762,-55.83,-66.99,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
supertrend_ema,DOGEUSD,1h,67,23,44,34.33,5.517,-3.482,0.828,-33.13,-49.93,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
stoch_rev,DOGEUSD,1h,96,49,47,51.04,5.159,-5.786,0.93,-40.65,-70.36,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
macd_hull_session,DOGEUSD,1h,116,32,84,27.59,2.783,-2.34,0.453,-68.36,-68.57,2021-09-29 05:00:00+00:00,2023-02-17 10:00:00+00:00
rsi2_connors,ETHUSD,1h,887,522,365,58.85,0.798,-1.452,0.786,-72.13,-72.3,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
rsi_oversold_rev,ETHUSD,1h,158,102,56,64.56,5.333,-10.175,0.955,-70.98,-72.71,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
macd_ema200,ETHUSD,1h,806,246,560,30.52,3.395,-1.53,0.974,-44.8,-68.46,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
ema9_21_cross,ETHUSD,1h,471,131,340,27.81,5.72,-1.782,1.237,143.19,-52.07,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
bb_meanrev,ETHUSD,1h,747,464,283,62.12,1.304,-2.89,0.74,-92.28,-92.39,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
supertrend_ema,ETHUSD,1h,252,94,158,37.3,6.553,-2.91,1.34,199.84,-45.67,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
stoch_rev,ETHUSD,1h,296,181,115,61.15,3.805,-6.31,0.949,-71.4,-76.92,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
macd_hull_session,ETHUSD,1h,441,153,288,34.69,3.409,-1.84,0.984,-27.97,-47.44,2018-08-02 10:00:00+00:00,2023-02-17 10:00:00+00:00
